AnoMes,Taxa Selic
1,0
2,3.63
3,2.6
4,4.26
5,4.25
6,4.04
7,4.02
8,3.84
9,3.32
10,3.09
11,2.88
12,2.78
13,2.58
14,2.35
15,2.22
16,2.07
17,2.01
18,1.98
19,1.93
20,1.97
21,1.9
22,1.86
23,1.8
24,1.8
25,1.73
26,1.67
27,1.64
28,1.66
29,1.58
30,1.61
31,1.6
32,1.59
33,1.59
34,1.67
35,3.04
36,2.97
37,2.67
38,2.13
39,2.2
40,1.71
41,1.63
42,1.6
43,1.7
44,1.48
45,2.49
46,2.94
47,2.63
48,2.4
49,2.18
50,2.38
51,3.33
52,2.35
53,2.02
54,1.67
55,1.66
56,1.57
57,1.49
58,1.38
59,1.39
60,1.6
61,1.46
62,1.45
63,1.45
64,1.3
65,1.49
66,1.39
67,1.31
68,1.41
69,1.22
70,1.29
71,1.22
72,1.2
73,1.27
74,1.02
75,1.26
76,1.19
77,1.34
78,1.27
79,1.5
80,1.6
81,1.32
82,1.53
83,1.39
84,1.39
85,1.53
86,1.25
87,1.37
88,1.48
89,1.41
90,1.33
91,1.54
92,1.44
93,1.38
94,1.65
95,1.54
96,1.74
97,1.97
98,1.83
99,1.78
100,1.87
101,1.97
102,1.86
103,2.08
104,1.77
105,1.68
106,1.64
107,1.34
108,1.37
109,1.27
110,1.08
111,1.38
112,1.18
113,1.23
114,1.23
115,1.29
116,1.29
117,1.25
118,1.21
119,1.25
120,1.48
121,1.38
122,1.22
123,1.53
124,1.41
125,1.5
126,1.59
127,1.51
128,1.66
129,1.5
130,1.41
131,1.38
132,1.47
133,1.43
134,1.15
135,1.42
136,1.08
137,1.28
138,1.18
139,1.17
140,1.26
141,1.06
142,1.09
143,1.02
144,0.99
145,1.08
146,0.87
147,1.05
148,0.94
149,1.03
150,0.91
151,0.97
152,0.99
153,0.8
154,0.93
155,0.84
156,0.84
157,0.93
158,0.8
159,0.84
160,0.9
161,0.88
162,0.96
163,1.07
164,1.02
165,1.1
166,1.18
167,1.02
168,1.12
169,1.05
170,0.86
171,0.97
172,0.84
173,0.77
174,0.76
175,0.79
176,0.69
177,0.69
178,0.69
179,0.66
180,0.73
181,0.66
182,0.59
183,0.76
184,0.67
185,0.75
186,0.79
187,0.86
188,0.89
189,0.85
190,0.81
191,0.81
192,0.93
193,0.86
194,0.84
195,0.92
196,0.84
197,0.99
198,0.96
199,0.97
200,1.07
201,0.94
202,0.88
203,0.86
204,0.91
205,0.89
206,0.75
207,0.82
208,0.71
209,0.74
210,0.64
211,0.68
212,0.69
213,0.54
214,0.61
215,0.55
216,0.55
217,0.6
218,0.49
219,0.55
220,0.61
221,0.6
222,0.61
223,0.72
224,0.71
225,0.71
226,0.81
227,0.72
228,0.79
229,0.85
230,0.79
231,0.77
232,0.82
233,0.87
234,0.82
235,0.95
236,0.87
237,0.91
238,0.95
239,0.84
240,0.96
241,0.94
242,0.82
243,1.04
244,0.95
245,0.99
246,1.07
247,1.18
248,1.11
249,1.11
250,1.11
251,1.06
252,1.16
253,1.06
254,1
255,1.16
256,1.06
257,1.11
258,1.16
259,1.11
260,1.22
261,1.11
262,1.05
263,1.04
264,1.12
265,1.09
266,0.87
